sale_id,borough,borough_name,neighborhood,building_class_category,tax_class_at_present,block,lot,easement,building_class_at_present,address,apartment_number,zipcode,residential_units,commercial_units,total_units,land_square_feet,gross_square_feet,year_built,tax_class_at_time_of_sale,building_class_at_time_of_sale,sale_price,sale_date,sale_date_yyyymm,price_per_gross_square_foot
1,1,Manhattan,CHELSEA,07 RENTALS - WALKUP APARTMENTS             ,2B,765,25, ,C4,219 WEST 15TH STREET, ,10011,9,0,9,1566,6330,1901,2,C4,630370.00,2017-08-31,2017-08,99.58
2,1,Manhattan,FLATIRON,08 RENTALS - ELEVATOR APARTMENTS           ,2,844,8, ,D6,9 EAST 16TH   STREET, ,10003,15,1,16,4600,30680,1900,2,D6,576299.00,2017-01-27,2017-01,18.78
3,1,Manhattan,HARLEM-CENTRAL,02 TWO FAMILY DWELLINGS                    ,1,1949,7, ,B3,355 WEST 122ND STREET, ,10027,2,0,2,1615,3840,1899,1,B3,500000.00,2016-12-05,2016-12,130.21
4,1,Manhattan,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2,1937,145, ,C5,232 WEST 132ND STREET, ,10027,11,0,11,1499,2250,1910,2,C5,725000.00,2017-03-16,2017-03,322.22
5,1,Manhattan,HARLEM-CENTRAL,07 RENTALS - WALKUP APARTMENTS             ,2B,1937,148, ,C5,242 WEST 132 STREET, ,10027,7,0,7,1682,2561,1910,2,C5,530000.00,2017-03-23,2017-03,206.95
6,1,Manhattan,HARLEM-CENTRAL,37 RELIGIOUS FACILITIES                    ,4,1721,132, ,M9,32-34 WEST 123RD STREET, ,10027,0,1,1,3088,10018,1909,4,M9,665000.00,2017-01-26,2017-01,66.38
7,1,Manhattan,HARLEM-EAST,07 RENTALS - WALKUP APARTMENTS             ,2B,1687,19, ,C1,337 EAST 115 STREET, ,10029,10,0,10,5046,13125,1900,2,C1,800000.00,2017-08-25,2017-08,60.95
8,1,Manhattan,INWOOD,01 ONE FAMILY DWELLINGS                    ,1,2215,510, ,A5,49 MARBLE HILL AVENUE, ,10463,1,0,1,1219,1224,1920,1,A5,635000.00,2017-08-18,2017-08,518.79
9,1,Manhattan,MANHATTAN VALLEY,07 RENTALS - WALKUP APARTMENTS             ,2,1848,12, ,C7,2111 FREDRICK DOUGLASS BL, ,10026,13,1,14,2542,11795,1900,2,C7,622843.00,2017-05-25,2017-05,52.81
10,1,Manhattan,MURRAY HILL,10 COOPS - ELEVATOR APARTMENTS             ,2,915,38, ,D4,240 EAST 35TH STREET, ,10016,121,0,121,12343,91745,1955,2,D4,650000.00,2017-02-03,2017-02,7.08
11,1,Manhattan,UPPER EAST SIDE (59-79),21 OFFICE BUILDINGS                        ,4,1396,7, ,O7,115 EAST 61ST   STREET, ,10065,0,32,32,5723,58298,1930,4,O7,730000.00,2016-11-01,2016-11,12.52
12,1,Manhattan,UPPER EAST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS             ,2,1562,18, ,D4,431 EAST 82ND STREET, ,10028,14,0,14,2554,10560,1910,2,D4,550000.00,2017-03-29,2017-03,52.08
13,1,Manhattan,UPPER WEST SIDE (59-79),07 RENTALS - WALKUP APARTMENTS             ,2B,1185,96, ,C1,45 RIVERSIDE DRIVE, ,10024,10,0,10,1650,6140,1900,2,C1,660000.00,2017-06-06,2017-06,107.49
14,1,Manhattan,WASHINGTON HEIGHTS LOWER,02 TWO FAMILY DWELLINGS                    ,1,2108,64, ,B3,953 ST.NICHOLAS AVE, ,10032,2,0,2,1070,1656,1901,1,B3,700000.00,2017-01-25,2017-01,422.71
15,2,Bronx,BATHGATE,02 TWO FAMILY DWELLINGS                    ,1,2929,136, ,B1,543 CLAREMONT PARKWAY, ,10457,2,0,2,2265,2394,1995,1,B1,530000.00,2017-02-02,2017-02,221.39
16,2,Bronx,BATHGATE,02 TWO FAMILY DWELLINGS                    ,1,3030,150, ,S2,2262 WEBSTER AVENUE, ,10457,2,1,3,1620,3240,1931,1,S2,700000.00,2017-07-27,2017-07,216.05
17,2,Bronx,BATHGATE,02 TWO FAMILY DWELLINGS                    ,1,3039,18, ,B3,464 EAST 185TH STREET, ,10458,2,0,2,1800,1944,1910,1,B3,500000.00,2017-01-12,2017-01,257.20
18,2,Bronx,BATHGATE,02 TWO FAMILY DWELLINGS                    ,1,3039,30, ,B1,469B EAST 184TH STREET, ,10458,2,0,2,741,2133,2006,1,B1,540625.00,2017-03-27,2017-03,253.46
19,2,Bronx,BATHGATE,03 THREE FAMILY DWELLINGS                  ,1,3031,145, ,C0,412 E 187TH STREET, ,10458,3,0,3,1784,2302,2004,1,C0,545000.00,2016-10-14,2016-10,236.75
20,2,Bronx,BATHGATE,03 THREE FAMILY DWELLINGS                  ,1,3047,29, ,C0,2108 BATHGATE AVENUE, ,10457,3,0,3,1650,3316,2005,1,C0,600000.00,2017-03-28,2017-03,180.94
21,2,Bronx,BATHGATE,03 THREE FAMILY DWELLINGS                  ,1,3050,28, ,C0,2265 BASSFORD AVENUE, ,10457,3,0,3,1250,2730,2003,1,C0,689399.00,2017-05-26,2017-05,252.53
22,2,Bronx,BATHGATE,30 WAREHOUSES                              ,4,3031,66, ,E1,4581 PARK AVENUE, ,10458,0,1,1,5490,4984,1912,4,E1,800000.00,2017-02-24,2017-02,160.51
23,2,Bronx,BAYCHESTER,01 ONE FAMILY DWELLINGS                    ,1,4724,40, ,S1,3448 MICKLE AVENUE, ,10469,1,1,2,2465,2112,1950,1,S1,599000.00,2017-04-28,2017-04,283.62
24,2,Bronx,BAYCHESTER,01 ONE FAMILY DWELLINGS                    ,1,4750,1, ,A5,3358 TIEMANN AVENUE, ,10469,1,0,1,2798,1782,1950,1,A5,579000.00,2017-04-25,2017-04,324.92
25,2,Bronx,BAYCHESTER,01 ONE FAMILY DWELLINGS                    ,1,4791,32, ,A2,1831 ARNOW AVENUE, ,10469,1,0,1,3788,870,1910,1,A2,784000.00,2017-07-27,2017-07,901.15
26,2,Bronx,BAYCHESTER,01 ONE FAMILY DWELLINGS                    ,1,4794,30, ,A1,1809 BARTOW AVE, ,10469,1,0,1,5004,1294,1925,1,A1,570000.00,2017-08-09,2017-08,440.49
27,2,Bronx,BAYCHESTER,01 ONE FAMILY DWELLINGS                    ,1,4796,6, ,A1,2932 ELY AVENUE, ,10469,1,0,1,2500,2870,2015,1,A1,515000.00,2017-04-04,2017-04,179.44
28,2,Bronx,BAYCHESTER,01 ONE FAMILY DWELLINGS                    ,1,5270,6, ,A2,2230 HOLLERS AVENUE, ,10475,1,0,1,6250,1696,1920,1,A2,500000.00,2016-10-14,2016-10,294.81
29,2,Bronx,BAYCHESTER,01 ONE FAMILY DWELLINGS                    ,1,5270,9, ,S1,2236 HOLLERS AVENUE, ,10475,1,1,2,5000,1216,1930,1,S1,700000.00,2016-10-14,2016-10,575.66
30,2,Bronx,BAYCHESTER,02 TWO FAMILY DWELLINGS                    ,1,4716,38, ,B2,1157 EAST 221 STREET, ,10469,2,0,2,2709,2400,1899,1,B2,585000.00,2017-07-31,2017-07,243.75
31,2,Bronx,BAYCHESTER,02 TWO FAMILY DWELLINGS                    ,1,4717,38, ,B9,1463 NEEDHAM AVENUE, ,10469,2,0,2,2850,2110,1950,1,B9,588000.00,2016-12-05,2016-12,278.67
32,2,Bronx,BAYCHESTER,02 TWO FAMILY DWELLINGS                    ,1,4728,27, ,B9,3521 TIEMANN AVE, ,10469,2,0,2,4200,3300,1970,1,B9,645000.00,2017-04-27,2017-04,195.45
33,2,Bronx,BAYCHESTER,02 TWO FAMILY DWELLINGS                    ,1,4729,52, ,B1,3425 GUNTHER AVENUE, ,10469,2,0,2,2850,3300,1910,1,B1,613600.00,2017-05-25,2017-05,185.94
34,2,Bronx,BAYCHESTER,02 TWO FAMILY DWELLINGS                    ,1,4729,62, ,B3,3403 GUNTHER, ,10469,2,0,2,6661,2600,1955,1,B3,500000.00,2017-05-08,2017-05,192.31
35,2,Bronx,BAYCHESTER,02 TWO FAMILY DWELLINGS                    ,1,4739,1, ,B1,3248 WILSON AVENUE, ,10469,2,0,2,2000,2499,1950,1,B1,635000.00,2017-05-08,2017-05,254.10
36,2,Bronx,BAYCHESTER,02 TWO FAMILY DWELLINGS                    ,1,4739,53, ,B1,3238 WILSON AVENUE, ,10469,2,0,2,2658,1976,1930,1,B1,535000.00,2016-12-15,2016-12,270.75
37,2,Bronx,BAYCHESTER,02 TWO FAMILY DWELLINGS                    ,1,4740,29, ,B1,3202 FISH AVENUE, ,10469,2,0,2,5000,1631,1956,1,B1,630000.00,2017-01-17,2017-01,386.27
38,2,Bronx,BAYCHESTER,02 TWO FAMILY DWELLINGS                    ,1,4743,45, ,B9,3320 CORSA AVENUE, ,10469,2,0,2,2642,1722,1950,1,B9,529000.00,2017-07-25,2017-07,307.20
39,2,Bronx,BAYCHESTER,02 TWO FAMILY DWELLINGS                    ,1,4744,48, ,B1,3332 EASTCHESTER ROAD, ,10469,2,0,2,2300,1762,1930,1,B1,620000.00,2017-08-07,2017-08,351.87
40,2,Bronx,BAYCHESTER,02 TWO FAMILY DWELLINGS                    ,1,4744,49, ,B1,3334 EASTCHESTER ROAD, ,10469,2,0,2,2300,2156,1930,1,B1,625000.00,2017-02-10,2017-02,289.89
41,2,Bronx,BAYCHESTER,02 TWO FAMILY DWELLINGS                    ,1,4746,33, ,B3,3216 CORSA AVENUE, ,10469,2,0,2,1800,1260,1950,1,B3,523000.00,2017-05-19,2017-05,415.08
42,2,Bronx,BAYCHESTER,02 TWO FAMILY DWELLINGS                    ,1,4747,54, ,B3,3232 EASTCHESTER ROAD, ,10469,2,0,2,4250,3073,1930,1,B3,545700.00,2017-04-14,2017-04,177.58
43,2,Bronx,BAYCHESTER,02 TWO FAMILY DWELLINGS                    ,1,4748,17, ,B2,3219 KINGSLAND AVENUE, ,10469,2,0,2,4750,2880,1970,1,B2,680000.00,2017-07-13,2017-07,236.11
44,2,Bronx,BAYCHESTER,02 TWO FAMILY DWELLINGS                    ,1,4755,19, ,B1,3233 BRUNER AVENUE, ,10469,2,0,2,1920,2585,1970,1,B1,515000.00,2017-01-24,2017-01,199.23
45,2,Bronx,BAYCHESTER,02 TWO FAMILY DWELLINGS                    ,1,4760,22, ,B1,3115 FENTON AVE, ,10469,2,0,2,2500,2040,2008,1,B1,615000.00,2017-03-23,2017-03,301.47
46,2,Bronx,BAYCHESTER,02 TWO FAMILY DWELLINGS                    ,1,4760,121, ,B1,3117 FENTON AVE, ,10469,2,0,2,2500,2040,2008,1,B1,599000.00,2016-12-23,2016-12,293.63
47,2,Bronx,BAYCHESTER,02 TWO FAMILY DWELLINGS                    ,1,4764,14, ,B1,3139 KINGSLAND AVENUE, ,10469,2,0,2,2424,2058,2007,1,B1,575000.00,2017-04-13,2017-04,279.40
48,2,Bronx,BAYCHESTER,02 TWO FAMILY DWELLINGS                    ,1,4775,32, ,B1,1809 ADEE AVENUE, ,10469,2,0,2,2477,1584,1955,1,B1,599000.00,2017-05-08,2017-05,378.16
49,2,Bronx,BAYCHESTER,02 TWO FAMILY DWELLINGS                    ,1,4775,41, ,B1,3026 WICKHAM AVENUE, ,10469,2,0,2,2700,2880,1960,1,B1,520000.00,2017-06-30,2017-06,180.56
50,2,Bronx,BAYCHESTER,02 TWO FAMILY DWELLINGS                    ,1,4776,3, ,B1,3047 ELY AVENUE, ,10469,2,0,2,3420,3327,1960,1,B1,620000.00,2017-04-17,2017-04,186.35
51,2,Bronx,BAYCHESTER,02 TWO FAMILY DWELLINGS                    ,1,4776,12, ,B1,3031 ELY AVENUE, ,10469,2,0,2,1895,2310,1960,1,B1,610000.00,2017-06-16,2017-06,264.07
52,2,Bronx,BAYCHESTER,02 TWO FAMILY DWELLINGS                    ,1,4778,158, ,B2,3154 GRACE AVENUE, ,10469,2,0,2,1900,1665,2004,1,B2,756822.00,2017-01-09,2017-01,454.55
53,2,Bronx,BAYCHESTER,02 TWO FAMILY DWELLINGS                    ,1,4789,11, ,B3,2945 WICKHAM AVENUE, ,10469,2,0,2,4750,2385,1901,1,B3,625000.00,2017-03-23,2017-03,262.05
54,2,Bronx,BAYCHESTER,02 TWO FAMILY DWELLINGS                    ,1,4796,129, ,B2,2911 GRACE AVENUE, ,10469,2,0,2,2375,2040,2004,1,B2,605000.00,2017-07-31,2017-07,296.57
55,2,Bronx,BAYCHESTER,02 TWO FAMILY DWELLINGS                    ,1,4799,101, ,B1,2895 GRACE AVENUE, ,10469,2,0,2,2516,3201,2006,1,B1,560000.00,2017-05-15,2017-05,174.95
56,2,Bronx,BAYCHESTER,02 TWO FAMILY DWELLINGS                    ,1,4799,108, ,B1,2861 GRACE AVENUE, ,10469,2,0,2,2912,3105,2006,1,B1,550000.00,2017-01-25,2017-01,177.13
57,2,Bronx,BAYCHESTER,02 TWO FAMILY DWELLINGS                    ,1,4887,42, ,B1,3438 EDSON AVENUE, ,10469,2,0,2,2020,1051,1925,1,B1,599000.00,2016-09-01,2016-09,569.93
58,2,Bronx,BAYCHESTER,02 TWO FAMILY DWELLINGS                    ,1,4900,43, ,B1,3669 EASTCHESTER ROAD, ,10466,2,0,2,2425,2800,1960,1,B1,565000.00,2017-02-27,2017-02,201.79
59,2,Bronx,BAYCHESTER,02 TWO FAMILY DWELLINGS                    ,1,4929,50, ,B1,3901 ELY AVENUE, ,10466,2,0,2,2640,1890,1964,1,B1,575000.00,2016-12-22,2016-12,304.23
60,2,Bronx,BAYCHESTER,02 TWO FAMILY DWELLINGS                    ,1,4934,14, ,B1,3919 GRACE AVENUE, ,10466,2,0,2,1995,2714,1965,1,B1,540000.00,2017-06-09,2017-06,198.97
61,2,Bronx,BAYCHESTER,02 TWO FAMILY DWELLINGS                    ,1,4940,59, ,B1,3872 AMUNDSON AVE, ,10466,2,0,2,2500,2550,2015,1,B1,697501.00,2017-05-08,2017-05,273.53
62,2,Bronx,BAYCHESTER,02 TWO FAMILY DWELLINGS                    ,1,4940,60, ,B1,3874 AMUNDSON AVE, ,10466,2,0,2,2500,2550,2015,1,B1,697501.00,2017-05-12,2017-05,273.53
63,2,Bronx,BAYCHESTER,02 TWO FAMILY DWELLINGS                    ,1,4941,54, ,B2,3649 VARIAN AVENUE, ,10466,2,0,2,2590,2270,1998,1,B2,540000.00,2016-09-07,2016-09,237.89
64,2,Bronx,BAYCHESTER,02 TWO FAMILY DWELLINGS                    ,1,4941,79, ,B2,33 HARPER COURT, ,10466,2,0,2,1950,2166,1996,1,B2,533667.00,2017-03-27,2017-03,246.38
65,2,Bronx,BAYCHESTER,02 TWO FAMILY DWELLINGS                    ,1,4961,22, ,B2,3952 SETON AVENUE, ,10466,2,0,2,5000,2000,1930,1,B2,535000.00,2017-06-26,2017-06,267.50
66,2,Bronx,BAYCHESTER,02 TWO FAMILY DWELLINGS                    ,1,4967,28, ,B1,4011 SECOR AVENUE, ,10466,2,0,2,5258,2821,1951,1,B1,545000.00,2017-05-26,2017-05,193.19
67,2,Bronx,BAYCHESTER,02 TWO FAMILY DWELLINGS                    ,1,4967,65, ,B1,4050 HARPER AVENUE, ,10466,2,0,2,2758,3105,1957,1,B1,645000.00,2017-07-27,2017-07,207.73
68,2,Bronx,BAYCHESTER,02 TWO FAMILY DWELLINGS                    ,1,4978,51, ,B1,4079 ELY AVENUE, ,10466,2,0,2,2185,2940,1955,1,B1,599000.00,2017-05-18,2017-05,203.74
69,2,Bronx,BAYCHESTER,02 TWO FAMILY DWELLINGS                    ,1,4980,73, ,B1,4049 EDSON AVENUE, ,10466,2,0,2,2500,2520,1940,1,B1,546000.00,2017-04-18,2017-04,216.67
70,2,Bronx,BAYCHESTER,02 TWO FAMILY DWELLINGS                    ,1,4981,7, ,B3,4036 EDSON AVENUE, ,10466,2,0,2,2500,2112,1925,1,B3,635000.00,2017-08-24,2017-08,300.66
71,2,Bronx,BAYCHESTER,02 TWO FAMILY DWELLINGS                    ,1,4981,20, ,B1,4054 EDSON AVENUE, ,10466,2,0,2,2050,2050,2007,1,B1,575000.00,2017-04-27,2017-04,280.49
72,2,Bronx,BAYCHESTER,02 TWO FAMILY DWELLINGS                    ,1,4982,2, ,B1,4016 BAYCHESTER AVENUE, ,10466,2,0,2,1700,2280,1965,1,B1,560000.00,2017-01-13,2017-01,245.61
73,2,Bronx,BAYCHESTER,02 TWO FAMILY DWELLINGS                    ,1,4983,8, ,B1,4026 DE REIMER AVENUE, ,10466,2,0,2,1868,1900,1955,1,B1,630000.00,2017-05-12,2017-05,331.58
74,2,Bronx,BAYCHESTER,02 TWO FAMILY DWELLINGS                    ,1,4984,1, ,B1,4016 WILDER AVENUE, ,10466,2,0,2,1924,2700,1950,1,B1,550000.00,2017-01-20,2017-01,203.70
75,2,Bronx,BAYCHESTER,02 TWO FAMILY DWELLINGS                    ,1,4984,18, ,B1,4042 WILDER AVENUE, ,10466,2,0,2,2375,2700,1950,1,B1,660000.00,2017-06-29,2017-06,244.44
76,2,Bronx,BAYCHESTER,02 TWO FAMILY DWELLINGS                    ,1,5134,14, ,B1,2233 BOLLER AVENUE, ,10475,2,0,2,3325,2290,2015,1,B1,789000.00,2016-12-14,2016-12,344.54
77,2,Bronx,BAYCHESTER,02 TWO FAMILY DWELLINGS                    ,1,5134,15, ,B1,2231 BOLLER AVE, ,10475,2,0,2,3325,2290,2015,1,B1,789143.00,2017-07-19,2017-07,344.60
78,2,Bronx,BAYCHESTER,02 TWO FAMILY DWELLINGS                    ,1,5653,37, ,B1,3516 ROPES AVENUE, ,10475,2,0,2,3250,1950,2004,1,B1,640000.00,2017-07-05,2017-07,328.21
79,2,Bronx,BAYCHESTER,03 THREE FAMILY DWELLINGS                  ,1,4710,35, ,C0,3575 WILSON AVENUE, ,10469,3,0,3,3098,4332,1987,1,C0,695000.00,2017-05-31,2017-05,160.43
80,2,Bronx,BAYCHESTER,03 THREE FAMILY DWELLINGS                  ,1,4717,100, ,C0,1178 EAST 221 STREET, ,10469,3,0,3,3284,3219,1901,1,C0,608940.00,2017-03-23,2017-03,189.17
81,2,Bronx,BAYCHESTER,03 THREE FAMILY DWELLINGS                  ,1,4719,20, ,C0,1432 NEEDHAM AVE, ,10469,3,0,3,1900,1560,1950,1,C0,570000.00,2017-01-05,2017-01,365.38
82,2,Bronx,BAYCHESTER,03 THREE FAMILY DWELLINGS                  ,1,4725,142, ,C0,1459 HICKS STREET, ,10469,3,0,3,2216,3420,1988,1,C0,660000.00,2017-08-18,2017-08,192.98
83,2,Bronx,BAYCHESTER,03 THREE FAMILY DWELLINGS                  ,1,4730,17, ,C0,3421 WICKHAM AVENUE, ,10469,3,0,3,2058,3138,1996,1,C0,690000.00,2017-07-19,2017-07,219.89
84,2,Bronx,BAYCHESTER,03 THREE FAMILY DWELLINGS                  ,1,4889,27, ,C0,1306 EAST 224 STREET, ,10466,3,0,3,3225,2968,1975,1,C0,540000.00,2016-10-07,2016-10,181.94
85,2,Bronx,BAYCHESTER,03 THREE FAMILY DWELLINGS                  ,1,4897,121, ,C0,1257 EAST 222ND STREET, ,10469,3,0,3,2500,3060,2004,1,C0,645000.00,2017-07-10,2017-07,210.78
86,2,Bronx,BAYCHESTER,03 THREE FAMILY DWELLINGS                  ,1,4899,25, ,C0,1229 EAST 224 STREET, ,10466,3,0,3,2984,3231,2006,1,C0,710000.00,2017-03-29,2017-03,219.75
87,2,Bronx,BAYCHESTER,03 THREE FAMILY DWELLINGS                  ,1,4903,59, ,C0,1120 EAST 225 STREET, ,10466,3,0,3,2300,3400,1988,1,C0,655000.00,2016-11-14,2016-11,192.65
88,2,Bronx,BAYCHESTER,03 THREE FAMILY DWELLINGS                  ,1,4921,159, ,C0,3620 PALMER AVENUE, ,10466,3,0,3,4087,3381,1989,1,C0,640000.00,2017-03-27,2017-03,189.29
89,2,Bronx,BAYCHESTER,03 THREE FAMILY DWELLINGS                  ,1,4923,2, ,C0,3572 PALMER AVENUE, ,10466,3,0,3,4125,3178,1989,1,C0,675000.00,2016-12-22,2016-12,212.40
90,2,Bronx,BAYCHESTER,03 THREE FAMILY DWELLINGS                  ,1,4939,22, ,C0,3849 AMUNDSON AVENUE, ,10466,3,0,3,2500,2539,1910,1,C0,720000.00,2017-03-23,2017-03,283.58
91,2,Bronx,BAYCHESTER,03 THREE FAMILY DWELLINGS                  ,1,4943,22, ,C0,3616 HARPER AVENUE, ,10466,3,0,3,4174,3232,1977,1,C0,675000.00,2017-01-31,2017-01,208.85
92,2,Bronx,BAYCHESTER,03 THREE FAMILY DWELLINGS                  ,1,4958,17, ,C0,3930 MURDOCK AVENUE, ,10466,3,0,3,3750,3173,2008,1,C0,600000.00,2017-02-02,2017-02,189.10
93,2,Bronx,BAYCHESTER,03 THREE FAMILY DWELLINGS                  ,1,4958,57, ,C0,3939 HILL AVENUE, ,10466,3,0,3,4750,3380,1925,1,C0,520000.00,2017-01-11,2017-01,153.85
94,2,Bronx,BAYCHESTER,03 THREE FAMILY DWELLINGS                  ,1,4959,1, ,C0,3910 HILL AVENUE, ,10466,3,0,3,2771,2950,1973,1,C0,605000.00,2017-01-11,2017-01,205.08
95,2,Bronx,BAYCHESTER,03 THREE FAMILY DWELLINGS                  ,1,4959,43, ,C0,3967 MONTICELLO AVENUE, ,10466,3,0,3,3532,2475,1935,1,C0,605000.00,2017-07-14,2017-07,244.44
96,2,Bronx,BAYCHESTER,03 THREE FAMILY DWELLINGS                  ,1,4960,25, ,C0,3944 MONTICELLO AVENUE, ,10466,3,0,3,3555,2920,1970,1,C0,620000.00,2017-02-23,2017-02,212.33
97,2,Bronx,BAYCHESTER,03 THREE FAMILY DWELLINGS                  ,1,4963,82, ,C0,3960 BELL AVENUE, ,10466,3,0,3,4105,4818,2001,1,C0,690000.00,2016-12-02,2016-12,143.21
98,2,Bronx,BAYCHESTER,03 THREE FAMILY DWELLINGS                  ,1,4981,88, ,C0,4015 BAYCHESTER AVENUE, ,10466,3,0,3,3750,2958,1989,1,C0,530000.00,2016-10-18,2016-10,179.18
99,2,Bronx,BAYCHESTER,03 THREE FAMILY DWELLINGS                  ,1,4982,51, ,C0,4083 DE REIMER AVENUE, ,10466,3,0,3,2375,3232,1960,1,C0,555000.00,2016-11-18,2016-11,171.72
100,2,Bronx,BAYCHESTER,03 THREE FAMILY DWELLINGS                  ,1,5226,131, ,C0,3300 BAYCHESTER AVENUE, ,10475,3,0,3,2752,2466,2001,1,C0,647500.00,2016-10-27,2016-10,262.57
101,2,Bronx,BAYCHESTER,03 THREE FAMILY DWELLINGS                  ,1,5263,236, ,C0,2105 REEDS MILL LANE, ,10475,3,0,3,4000,3232,1990,1,C0,685000.00,2017-06-01,2017-06,211.94
102,2,Bronx,BAYCHESTER,07 RENTALS - WALKUP APARTMENTS             ,2A,5654,393, ,C3,2551 PELHAM BAY PARK WEST, ,10475,4,0,4,7230,5712,1970,2,C3,550000.00,2016-09-06,2016-09,96.29
103,2,Bronx,BAYCHESTER,29 COMMERCIAL GARAGES                      ,4,4728,42, ,G2,3551 BOSTON ROAD, ,10469,0,1,1,6750,1412,1930,4,G2,590000.00,2017-02-07,2017-02,417.85
104,2,Bronx,BAYCHESTER,29 COMMERCIAL GARAGES                      ,4,4949,40, ,G2,3640 DYRE AVENUE, ,10466,0,1,1,10130,6150,1957,4,G2,500000.00,2017-07-18,2017-07,81.30
105,2,Bronx,BAYCHESTER,29 COMMERCIAL GARAGES                      ,4,4953,50, ,G2,1678 EAST 233 STREET, ,10466,0,2,2,7500,4500,1967,4,G2,650000.00,2017-07-19,2017-07,144.44
106,2,Bronx,BAYCHESTER,30 WAREHOUSES                              ,4,4949,19, ,E9,3645 ROMBOUTS AVENUE, ,10466,0,1,1,5400,5400,1955,4,E9,750000.00,2017-04-28,2017-04,138.89
107,2,Bronx,BAYCHESTER,30 WAREHOUSES                              ,4,4973,5, ,E1,3913 PROVOST AVENUE, ,10466,0,1,1,2750,5500,1920,4,E1,625000.00,2016-11-14,2016-11,113.64
108,2,Bronx,BEDFORD PARK/NORWOOD,01 ONE FAMILY DWELLINGS                    ,1,3294,73, ,A1,2653 BAINBRIDGE AVENUE, ,10458,1,0,1,1892,2022,1915,1,A1,540000.00,2017-04-05,2017-04,267.06
109,2,Bronx,BEDFORD PARK/NORWOOD,02 TWO FAMILY DWELLINGS                    ,1,3296,24, ,B2,2880 BRIGGS AVENUE, ,10458,2,0,2,3125,3503,1901,1,B2,580000.00,2017-02-28,2017-02,165.57
110,2,Bronx,BEDFORD PARK/NORWOOD,02 TWO FAMILY DWELLINGS                    ,1,3297,38, ,B3,2932 VALENTINE AVENUE, ,10458,2,0,2,2000,2583,1899,1,B3,585000.00,2017-05-16,2017-05,226.48
111,2,Bronx,BEDFORD PARK/NORWOOD,02 TWO FAMILY DWELLINGS                    ,1,3301,98, ,B3,2765 BRIGGS AVENUE, ,10458,2,0,2,1882,2556,1901,1,B3,625000.00,2017-04-07,2017-04,244.52
112,2,Bronx,BEDFORD PARK/NORWOOD,02 TWO FAMILY DWELLINGS                    ,1,3308,92, ,B3,261 EAST 202 STREET, ,10458,2,0,2,2242,1440,1920,1,B3,800000.00,2017-08-30,2017-08,555.56
113,2,Bronx,BEDFORD PARK/NORWOOD,02 TWO FAMILY DWELLINGS                    ,1,3309,52, ,S2,246 EAST 204 STREET, ,10458,2,1,3,709,2132,1931,1,S2,637000.00,2016-12-14,2016-12,298.78
114,2,Bronx,BEDFORD PARK/NORWOOD,02 TWO FAMILY DWELLINGS                    ,1,3311,116, ,B2,188 EAST 205 STREET, ,10458,2,0,2,2440,2028,1910,1,B2,592000.00,2016-09-29,2016-09,291.91
115,2,Bronx,BEDFORD PARK/NORWOOD,02 TWO FAMILY DWELLINGS                    ,1,3318,51, ,B2,2789 MORRIS AVENUE, ,10468,2,0,2,2840,3101,1901,1,B2,699000.00,2016-09-27,2016-09,225.41
116,2,Bronx,BEDFORD PARK/NORWOOD,02 TWO FAMILY DWELLINGS                    ,1,3319,21, ,B1,27 EAST 198 STREET, ,10468,2,0,2,2894,2292,1899,1,B1,670000.00,2017-04-26,2017-04,292.32
117,2,Bronx,BEDFORD PARK/NORWOOD,02 TWO FAMILY DWELLINGS                    ,1,3319,22, ,B2,25 EAST 198 STREET, ,10468,2,0,2,2894,3198,1910,1,B2,670000.00,2017-04-26,2017-04,209.51
118,2,Bronx,BEDFORD PARK/NORWOOD,02 TWO FAMILY DWELLINGS                    ,1,3324,49, ,B1,3432 GATES PLACE, ,10467,2,0,2,2500,2520,1920,1,B1,625000.00,2017-01-30,2017-01,248.02
119,2,Bronx,BEDFORD PARK/NORWOOD,02 TWO FAMILY DWELLINGS                    ,1,3324,103, ,B1,3406 KNOX PLACE, ,10467,2,0,2,2500,4040,1920,1,B1,575000.00,2017-07-20,2017-07,142.33
120,2,Bronx,BEDFORD PARK/NORWOOD,02 TWO FAMILY DWELLINGS                    ,1,3328,167, ,B1,3555 ROCHAMBEAU AVENUE, ,10467,2,0,2,2178,3288,1920,1,B1,550000.00,2017-04-06,2017-04,167.27
121,2,Bronx,BEDFORD PARK/NORWOOD,02 TWO FAMILY DWELLINGS                    ,1,3328,169, ,B1,3551 ROCHAMBEAU AVENUE, ,10467,2,0,2,2352,3500,1920,1,B1,530000.00,2017-05-24,2017-05,151.43
122,2,Bronx,BEDFORD PARK/NORWOOD,02 TWO FAMILY DWELLINGS                    ,1,3343,133, ,B3,3309 PERRY AVE, ,10467,2,0,2,2117,1296,1901,1,B3,575000.00,2017-08-14,2017-08,443.67
123,2,Bronx,BEDFORD PARK/NORWOOD,02 TWO FAMILY DWELLINGS                    ,1,3351,43, ,B2,3285 DECATUR AVENUE, ,10467,2,0,2,2500,3000,1901,1,B2,565000.00,2017-04-14,2017-04,188.33
